20/06/2014 01:29:01 INFO Eliminacion de la relacion entre el item item112 y el item 0, hecho por ysapy
20/06/2014 01:29:13 INFO Administracion de Relaciones del item item112, hecho por ysapy
20/06/2014 01:29:17 INFO Consulta de item item112 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:29:24 INFO Consulta de relaciones de item item112 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:29:36 INFO Consulta de atributos de item item112 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:30:15 INFO Administracion de Relaciones del item item112, hecho por ysapy
20/06/2014 01:34:51 INFO Administracion de Lineas Base de fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:36:08 INFO Generacion de Linea Base 2 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:36:10 INFO Administracion de Lineas Base de fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:36:19 INFO Consulta de Linea Base 2 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:39:26 INFO Administracion de Lineas Base de fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:39:30 INFO Consulta de Linea Base 1 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:39:38 INFO Consulta de item item112 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:39:50 INFO Generacion de  informe de linea base 1 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:40:11 INFO Administracion de Lineas Base de fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:40:31 INFO Generacion de Linea Base 2 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:40:34 INFO Administracion de Lineas Base de fase F1 del proyecto P2, hecho por ysapy
20/06/2014 01:40:47 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:44:59 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 01:45:43 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 01:46:16 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
